"","GVKEY","avg_earnings","avg_ep","count"
"1",1094,-0.159959864984116,0.0454628381849568,4
"2",1266,-0.649875932697515,0.0187625694635061,4
"3",1300,-0.174153677045924,0.0453703027439424,4
"4",1327,0.335292345692535,0.0537549028696355,4
"5",1410,-0.391544942768184,0.0310364084803828,4
"6",1440,0.560675990806329,0.0497849642238168,4
"7",1598,0.0694454841815104,0.044356856502552,4
"8",1602,-0.095196635045831,0.0463057927685503,4
"9",1632,0.0626103046698914,0.036004412182985,4
"10",1690,0.0884574834757623,0.0706400282572518,4
"11",1704,0.509894970357484,0.0543929506376791,4
"12",1743,0.52977017404366,0.0518311912295413,4
"13",1794,-0.600717877932015,0.0176271613683069,4
"14",1891,0.0490408074131286,0.0379036157859473,4
"15",1913,0.0499699031911554,0.0444086125816168,4
"16",2005,0.0441727773630542,0.05517962208125,4
"17",2019,0.168832061170713,0.0639629698216074,4
"18",2080,0.37511247888453,0.0502343077667814,4
"19",2111,0.0392878724619392,0.0323103220141963,4
"20",2154,-0.120920886697606,0.0428895125740526,4
"21",2285,0.19023306186463,0.051263926276657,4
"22",2342,0.216045223923821,0.0256834306644162,4
"23",2393,0.441966715393999,0.0409788591260873,4
"24",2444,-0.114578554409012,0.0470092393319136,4
"25",2547,0.0286560103035913,0.0578158884572572,4
"26",2593,-1.16901669326687,0.00183436612996929,4
"27",2596,0.070110818251548,0.0665702141072246,4
"28",2663,0.0783309822066893,0.0479709655725524,4
"29",2696,0.217522939196561,0.0568801667968721,4
"30",2698,0.200915502744771,0.0534251441435879,4
"31",2751,0.0397008208557657,0.0504080107400861,4
"32",2787,0.597938122210389,0.025335092990998,4
"33",2942,0.183055486187665,0.02425166923097,4
"34",2968,0.0410833642427966,0.0771622939103057,4
"35",3007,0.0162740606995897,0.0641103776405476,4
"36",3121,0.0794860086882088,0.04172279020233,4
"37",3157,0.6016596458365,0.0410390893313291,4
"38",3203,0.171816465155414,0.0645207634764159,4
"39",3221,-0.0408080337974451,0.0463576675912437,4
"40",3226,0.330316610594247,0.0667642698096517,4
"41",3231,0.117260830142664,0.0572567968759818,4
"42",3238,0.0705028434641248,0.0544193414342107,4
"43",3246,-0.180522414948578,0.0466307573426754,4
"44",3504,0.153809927517935,0.0314116799158766,4
"45",3532,0.0555608695744934,0.0649965738707419,4
"46",3570,0.153997722279156,0.0516565325712426,4
"47",3580,0.0411770033737386,0.0499362946961627,4
"48",3735,0.00953310191114065,0.0452325711340653,4
"49",3835,-0.0613551108204422,0.0704709356337736,4
"50",3855,-0.12206565687343,0.0385461417842477,4
"51",3980,0.0646875658843955,0.0542513070703839,4
"52",4036,-0.0211059557027063,0.0419315302111146,4
"53",4058,0.100677746730173,0.0625582947364044,4
"54",4060,-0.0208753400821822,0.066100416335388,4
"55",4115,0.619062695665977,0.0442801434291671,4
"56",4130,-0.955201767701767,0.0557800922426795,4
"57",4145,0.232766339423171,0.0361090208755503,4
"58",4201,-0.00874891208952522,0.0594249634135315,4
"59",4321,-0.0686707458170328,0.0558333204367607,4
"60",4383,0.110207742174162,0.051260612549511,4
"61",4450,0.360218223121176,0.0374608152996802,4
"62",4460,0.147414965252434,0.0358892458128563,4
"63",4498,0.208524885943227,0.0545329730630428,4
"64",4517,0.340470071502785,0.0594176036379004,4
"65",4674,0.0335228734736146,0.06822915201223,4
"66",4685,-0.0507577847047561,0.0607674771966577,4
"67",4699,0.100507723435294,0.0549763837281647,4
"68",4723,0.020787525000179,0.0681600587462363,4
"69",4737,0.254663353644248,0.0427297643407439,4
"70",4759,0.0411659369348032,0.0693613246103185,4
"71",4771,0.185297847063826,0.0671892620482002,4
"72",4885,-0.105124073026947,0.0769947066343019,4
"73",4973,0.15165318538801,0.0445183016825872,4
"74",5072,-0.0602305166403132,0.0295283854166764,4
"75",5256,-0.0954050408506538,0.0471490978667118,4
"76",5338,0.0587087942916431,0.0419515531495179,4
"77",5492,0.10046084640787,0.0448744126013382,4
"78",5567,0.0659194259126461,0.0330162303647869,4
"79",5581,-0.0942308090290156,0.0295733927243944,4
"80",5597,0.0322693052172531,0.031966447883909,4
"81",5608,0.107596508412783,0.0520879301301077,4
"82",5639,0.488452343376939,0.0248827949547613,4
"83",5709,0.129006123786189,0.0439417407526256,4
"84",5763,0.00150173719381286,0.0478047207452574,4
"85",5764,-0.0373208410568957,0.0441788914753608,4
"86",5786,0.263047658861132,0.0670126409518942,4
"87",5788,0.00922042801690615,0.069737253506696,4
"88",5878,-0.151595959782174,0.052309062467992,4
"89",5959,0.27230205747075,0.0580611044722171,4
"90",6008,-0.063415840952632,0.0600284247639208,4
"91",6104,0.675174723754832,0.0537456000933594,4
"92",6116,0.213396033821798,0.0463959301569493,4
"93",6196,-0.165349172351596,0.0543638711898557,4
"94",6216,0.00455828669909453,0.0479014590019471,4
"95",6268,-1.37497110693026,0.0284751164950306,4
"96",6304,0.288934317074414,0.0537314303856777,4
"97",6335,0.320986801041394,0.0590002828834144,4
"98",6416,-0.0189907183759404,0.0651934620503782,4
"99",6433,0.140558106561078,0.0511860688536041,4
"100",6435,0.284579524323271,0.040819076145752,4
"101",6497,-0.301737476848078,-0.0457437214925219,4
"102",6509,0.370614676888054,0.063919212189374,4
"103",6547,0.264064215193924,0.0515097034386108,4
"104",6565,0.429502286687388,0.0624442638286388,4
"105",6573,0.166848706901001,0.0347627253473043,4
"106",6669,0.0401690274689097,0.0731352000033275,4
"107",6774,-0.0513872880971797,0.0513246127353894,4
