"","PERMNO","YEAR","RET","ret"
"284",10026,1998,0.366410457736299,0.366410457736299
"285",10026,1999,-0.0837994734846911,-0.0837994734846911
"286",10026,2000,-0.179877828284087,-0.179877828284087
"287",10026,2001,0.454277050914876,0.454277050914876
"288",10026,2002,0.460528925163702,0.460528925163702
"289",10026,2003,0.0574074656786456,0.0574074656786456
"290",10026,2004,0.301923987670644,0.301923987670644
"291",10026,2005,0.22352757650845,0.22352757650845
"292",10026,2006,0.40643908686763,0.40643908686763
"293",10026,2007,-0.237085643705508,-0.237085643705508
"294",10026,2008,0.162008346960147,0.162008346960147
"295",10026,2009,0.125758266786125,0.125758266786125
"296",10026,2010,0.21941375910893,0.21941375910893
"297",10026,2011,0.115724708393916,0.115724708393916
"298",10026,2012,0.210640278084449,0.210640278084449
"299",10026,2013,0.400835433621387,0.400835433621387
"300",10026,2014,0.244459610648453,0.244459610648453
"301",10026,2015,0.0872389269267848,0.0872389269267848
"302",10026,2016,0.159438412231507,0.159438412231507
"303",10026,2017,0.152372962430911,0.152372962430911
"304",10027,1986,-0.250001354798765,-0.250001354798765
"305",10027,1987,-0.54545173318661,-0.54545173318661
"306",10027,1988,0.0999917141218232,0.0999917141218232
"307",10027,1989,1.2272822427494,1.2272822427494
"308",10027,1990,0.0816319803180368,0.0816319803180368
"309",10028,1986,-0.555555419475552,-0.555555419475552
"310",10028,1987,0.062501138705384,0.062501138705384
"311",10028,1988,-0.588233813174355,-0.588233813174355
"312",10028,1989,-0.702382032907839,-0.702382032907839
"313",10028,1990,-0.439998998497809,-0.439998998497809
"314",10028,1991,9.85716511602786,9.85716511602786
"315",10028,1992,-0.421055906630837,-0.421055906630837
"316",10028,1993,0.772735368484695,0.772735368484695
"317",10028,1994,-0.0769218115906115,-0.0769218115906115
"318",10028,1995,-0.444445023951697,-0.444445023951697
"319",10028,1996,-0.150000003184573,-0.150000003184573
"320",10028,1997,1.58821841045532,1.58821841045532
"321",10028,1998,0.386371510263413,0.386371510263413
"322",10028,1999,0.573772702250831,0.573772702250831
"323",10028,2000,0.416669044322908,0.416669044322908
"324",10028,2001,-0.600000953840538,-0.600000953840538
"325",10028,2002,-0.68676209529039,-0.68676209529039
"326",10028,2003,1.20656289250931,1.20656289250931
"327",10028,2004,0.199991999006812,0.199991999006812
"328",10028,2005,-0.294328355574272,-0.294328355574272
"329",10028,2006,0.276389139989751,0.276389139989751
"330",10028,2007,1.06692216842231,1.06692216842231
"331",10028,2008,-0.676191427173404,-0.676191427173404
"332",10028,2009,-0.170583017222033,-0.170583017222033
"333",10028,2010,2.03546375373419,2.03546375373419
"334",10028,2011,0.745316673164288,0.745316673164288
"335",10028,2012,-0.160022016235387,-0.160022016235387
"336",10028,2013,-0.589318245289896,-0.589318245289896
"337",10028,2014,-0.452917418674153,-0.452917418674153
"338",10028,2015,-0.729509808975528,-0.729509808975528
"339",10028,2016,2.75759655283001,2.75759655283001
"340",10028,2017,-0.249192768160024,-0.249192768160024
"341",10029,1986,-0.255814085236009,-0.255814085236009
"342",10029,1987,-0.34375209620904,-0.34375209620904
"343",10029,1988,6.63776988929499e-06,6.63776988929499e-06
"344",10029,1989,-0.0952389663720367,-0.0952389663720367
"345",10029,1990,0.368426893513931,0.368426893513931
"346",10031,1983,-0.12244905926161,-0.12244905926161
"347",10031,1984,-0.441862209243164,-0.441862209243164
"348",10031,1985,0.562497581879766,0.562497581879766
"349",10031,1986,-0.0400021266717351,-0.0400021266717351
"350",10031,1987,-0.305555514403744,-0.305555514403744
"351",10031,1988,-0.36000050674142,-0.36000050674142
"352",10031,1989,-0.43749992329553,-0.43749992329553
"353",10032,1986,-0.465839199063736,-0.465839199063736
"354",10032,1987,-0.441862031999145,-0.441862031999145
"355",10032,1988,0.500004544910988,0.500004544910988
"356",10032,1989,0.500007450502043,0.500007450502043
"357",10032,1990,-0.333334809488904,-0.333334809488904
"358",10032,1991,3.22223675428871,3.22223675428871
"359",10032,1992,0.184206480753763,0.184206480753763
"360",10032,1993,0.0166622479826835,0.0166622479826835
"361",10032,1994,-0.442624786630556,-0.442624786630556
"362",10032,1995,0.955885358878445,0.955885358878445
"363",10032,1996,0.00751901170962244,0.00751901170962244
"364",10032,1997,0.776123674795671,0.776123674795671
"365",10032,1998,1.27732294378268,1.27732294378268
